date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:33:56	2123/2123	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22acee1729fb9698fa33bf5b973f1b8677%22	https://armando.nicepage.io/robots.txt		(from )
23:33:56	17373/17373	---M-Z	200	added ('OK')	text/html	etag:W/%22499fc19662baa43beb6de5b81dc7c3db%22	https://armando.nicepage.io/	D:/Armando/My%20Web%20Sites/armando/armando.nicepage.io/index.html	(from )
23:33:58	672700/672700	---MCZ	200	added ('OK')	text/css	etag:W/%22336df9d4182f1db5e0c1fe74f5786f54%22	http://capp.nicepage.com/d114f428bfaaeaa714a5b288adc02c82ccd03c41/nicepage.css	D:/Armando/My%20Web%20Sites/armando/capp.nicepage.com/d114f428bfaaeaa714a5b288adc02c82ccd03c41/nicepage.css	(from https://armando.nicepage.io/)
23:33:59	826561/826561	---M-Z	200	added ('OK')	text/css	etag:W/%22f7d92272a078ef5b8c0bd39209717bfb%22	https://armando.nicepage.io/nicepage-site.css	D:/Armando/My%20Web%20Sites/armando/armando.nicepage.io/nicepage-site.css	(from https://armando.nicepage.io/)
23:33:59	9578/9578	---M-Z	200	added ('OK')	text/css	etag:W/%22b0d057123fce66f12f6f1c802ec6b648%22	https://armando.nicepage.io/Home---Armando-Lattaruli.css	D:/Armando/My%20Web%20Sites/armando/armando.nicepage.io/Home---Armando-Lattaruli.css	(from https://armando.nicepage.io/)
23:34:01	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	http://capp.nicepage.com/assets/jquery-3.5.1.min.js	D:/Armando/My%20Web%20Sites/armando/capp.nicepage.com/assets/jquery-3.5.1.min.js	(from https://armando.nicepage.io/)
23:34:03	373052/373052	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22be1d11ddf3f16504fed6ef0d093aa306%22	http://capp.nicepage.com/d114f428bfaaeaa714a5b288adc02c82ccd03c41/nicepage.js	D:/Armando/My%20Web%20Sites/armando/capp.nicepage.com/d114f428bfaaeaa714a5b288adc02c82ccd03c41/nicepage.js	(from https://armando.nicepage.io/)
23:34:03	10365/10365	---M--	200	added ('OK')	application/octet-stream	etag:%22bd753b0f7ee7b11572d9484919efad73%22	https://armando.nicepage.io/favicon.ico	D:/Armando/My%20Web%20Sites/armando/armando.nicepage.io/favicon.ico	(from https://armando.nicepage.io/)
23:34:03	18955/18955	---M--	200	added ('OK')	image/png	etag:%22d6b8ae14f72b0ef50e2577579f6e9ccf%22	https://assets.nicepagecdn.com/5a8def22/6228288/images/Artboard1-1.png	D:/Armando/My%20Web%20Sites/armando/assets.nicepagecdn.com/5a8def22/6228288/images/Artboard1-1.png	(from https://armando.nicepage.io/)
23:34:03	11466/11466	---M-Z	200	added ('OK')	text/html	etag:W/%22739e8d2de74617db9d8e3b83114a341a%22	https://armando.nicepage.io/Gallery---Armando-Lattaruli.html	D:/Armando/My%20Web%20Sites/armando/armando.nicepage.io/Gallery---Armando-Lattaruli.html	(from https://armando.nicepage.io/)
23:34:04	5319/5319	---M--	200	added ('OK')	image/png	etag:%229b1ceae0aa31486938531880614681a3%22	https://assets.nicepagecdn.com/5a8def22/6227867/images/270798.png	D:/Armando/My%20Web%20Sites/armando/assets.nicepagecdn.com/5a8def22/6227867/images/270798.png	(from https://armando.nicepage.io/)
23:34:04	7247/7247	---M--	200	added ('OK')	image/png	etag:%22923e0b56889f352cd1013ead94149280%22	https://assets.nicepagecdn.com/5a8def22/6227867/images/3955024.png	D:/Armando/My%20Web%20Sites/armando/assets.nicepagecdn.com/5a8def22/6227867/images/3955024.png	(from https://armando.nicepage.io/)
23:34:05	3152690/3152690	---M--	200	added ('OK')	image/png	etag:%228952384d0e16dd2ccf4d5867ed4a485a%22	https://assets.nicepagecdn.com/5a8def22/6228288/images/3.png	D:/Armando/My%20Web%20Sites/armando/assets.nicepagecdn.com/5a8def22/6228288/images/3.png	(from https://armando.nicepage.io/Home---Armando-Lattaruli.css)
23:34:05	147841/147841	---M--	200	added ('OK')	image/jpeg	etag:%221f1cf29eade83129df98b710ca34b945%22	https://assets.nicepagecdn.com/5a8def22/6228288/images/86f2c9630725a02dd8c7fc2c88e3c4636075b09c788f804c9ce33c6eb6fa8e95c0d04562a753028c04a435d950658be003dafdab7e9e8daf13608b_1280.jpg	D:/Armando/My%20Web%20Sites/armando/assets.nicepagecdn.com/5a8def22/6228288/images/86f2c9630725a02dd8c7fc2c88e3c4636075b09c788f804c9ce33c6eb6fa8e95c0d04562a753028c04a435d950658be003dafdab7e9e8daf13608b_1280.jpg	(from https://armando.nicepage.io/Home---Armando-Lattaruli.css)
